city_id,city,Amsterdam,Rotterdam,The Hague,Utrecht,Eindhoven
2928,The Hague,64.377,24.089,0,68.239,143.173
2818,Breda,105.741,50.538,77.435,72.849,60.481
2912,Rotterdam,77.977,0,23.861,61.236,111.255
2888,Leiden,45.342,35.12,21.853,59.124,134.058
2841,Enschede,160.975,196.189,203.27,139.677,178.672
2820,Breukelen,27.929,67.662,74.743,26.8,101.553
2825,Delft,67.255,15.95,13.138,70.987,129.954
2806,Amsterdam,0,77.874,64.608,47.835,122.588
2902,Nijmegen,118.892,112.275,139.014,86.909,68.425
2932,Utrecht,44.306,61.856,68.937,0,92.541
2890,Maastricht,212.506,198.047,230.321,179.702,87.653
2837,Eindhoven,124.475,110.568,142.291,91.671,0
2855,Groningen,181.489,245.883,236.187,187.322,254.118
2946,Wageningen,81.08,96.344,103.424,49.098,81.472
