city,city_id,London,Edinburgh,Manchester,Birmingham,Glasgow
Huddersfield,3401,306.6,379.462,48.132,191.745,376.781
Glasgow,3383,662.502,74.949,344.742,466.032,0
Falmouth,3381,434.329,875.54,545.796,417.682,872.859
Cardiff,3350,245.018,643.431,313.687,185.574,640.75
Derby,3369,206.073,455.144,128.676,67.229,455.739
Berkshire,3330,86.098,626.371,296.627,164.255,623.69
Sheffield,3451,269.406,403.514,61.652,146.191,406.876
Oxford,3434,90.078,588.531,258.787,126.414,585.85
Bradford,3339,327.249,380.389,63.433,204.034,326.471
Kingston upon Thames,3408,19.776,672.822,343.078,210.706,670.141
Plymouth,3437,341.546,782.756,453.012,324.899,780.076
Belfast,3328,756.285,302.11,462.728,559.815,228.407
Buckingham,3346,105.961,571.02,239.801,107.429,566.864
Lincoln,3414,230.828,441.184,176.362,157.337,444.546
Sunderland,3462,444.456,212.859,223.753,321.241,266.446
Guildford,3387,51.841,680.074,350.33,217.958,677.393
Portsmouth,3440,118.494,718.801,389.057,256.685,716.12
Bath,3326,188.744,621.516,291.771,163.658,618.835
Colchester,3363,109.638,657.012,379.872,247.426,660.374
Pontypridd,3438,255.298,653.711,323.967,195.854,651.03
York,3484,336.119,336.161,115.416,212.904,339.523
Hull,3402,304.227,426.12,161.055,224.543,429.482
Poole,3439,174.427,742.951,413.207,280.835,740.27
Birmingham,3333,202.2,469.157,139.413,0,466.476
St Andrews,3458,765.552,81.263,447.792,569.082,117.795
Swansea,3464,302.161,700.574,370.83,242.717,697.893
Newport,3429,224.89,623.303,293.559,165.446,620.622
Leeds,3411,313.636,357.716,71.753,190.42,361.078
Coventry,3364,172.8,498.778,169.034,35.097,496.097
Leicester,3412,163.607,491.358,169.39,68.664,496.453
Southampton,3456,123.785,692.308,362.564,230.192,689.627
Northampton,3430,108.607,545.784,219.481,87.034,546.544
Middlesbrough,3423,404.467,254.249,183.764,281.252,305.143
Cheltenham,3358,153.265,539.284,209.54,81.427,536.603
Loughborough,3417,183.398,476.782,154.813,66.839,481.877
Inverness,3403,913.704,250.471,595.945,717.235,270.619
Henley-on-Thames,3393,67.792,621.365,291.621,159.249,618.684
Norwich,3431,189.811,600.925,336.103,256.905,604.287
Brighton,3342,86.08,747.002,417.258,284.885,744.321
Newcastle,3427,455.021,193.759,234.317,331.806,243.85
Cambridge,3348,103.141,569.992,292.852,160.405,573.354
Chester,3360,350.604,387.887,71.076,122.301,385.206
Luton,3418,55.151,597.062,270.759,138.312,597.822
Aberystwyth,3320,393.341,537.705,220.894,198.59,535.024
Egham,3378,37.139,652.344,322.6,190.227,649.663
High Wycombe,3396,51.843,618.636,288.892,156.52,615.956
Dundee,3373,773.185,100.691,455.426,576.716,130.1
Bristol,3343,191.869,600.032,270.288,142.175,597.351
Canterbury,3349,97.882,728.799,428.05,295.604,732.161
Bangor,3323,440.545,477.828,161.017,244.076,475.147
Durham,3375,433.71,224.116,213.007,310.495,261.369
Salford,3447,347.687,343.983,4.266,151.218,341.302
London,3416,0,649.253,336.181,203.809,663.244
Newcastle upon Tyne,3428,455.021,193.759,234.317,331.806,243.85
Aberdeen,3319,877.135,204.64,559.375,680.665,234.05
Preston,3441,368.718,297.503,53.238,172.248,294.822
Edinburgh,3377,648.357,0,347.828,469.117,75.382
Wolverhampton,3481,221.959,451.794,122.05,27.208,449.113
Farnham,3382,68.008,689.005,359.261,226.889,686.325
Liverpool,3415,354.737,355.855,56.002,158.268,353.174
Bedford,3327,96.774,564.491,263.183,130.737,567.853
Manchester,3420,335.16,350.014,0,138.691,347.333
Exeter,3379,274.534,718.102,388.358,260.245,715.421
Stirling,3459,685.834,58.804,368.075,489.365,42.749
Nottingham,3432,205.319,450.431,130.899,82.103,453.793
Lancaster,3410,402.517,265.57,84.758,206.048,262.889
Milton Keynes,3425,87.583,572.18,245.877,113.431,572.941
Ormskirk,3433,355.265,341.007,56.544,158.795,338.326
Hatfield,3392,36.009,603.394,299.216,166.769,606.756
