city_id,city,Stockholm,Gothenburg,Malmo,Uppsala,Vasteras
3255,Boras,407.402,63.351,289.445,472.875,351.29
3100,Vaxjo,418.896,228.364,205.001,484.368,402.377
3132,Linkoping,199.735,273.501,421.872,265.207,187.373
3159,Lund,604.035,262.393,22.768,669.507,587.813
3160,Malmo,620.717,279.074,4.495,686.189,604.495
3101,Orebro,201.5,282.574,506.876,171.224,95.184
3210,Uppsala,70.891,453.563,683.278,0,79.318
3073,Jonkoping,324.032,148.434,296.606,389.505,307.81
3234,Karlstad,309.662,249.734,522.753,279.386,203.345
3246,Umea,637.273,982.738,1249.66,571.367,608.502
3285,Skovde,347.522,154.571,383.346,317.246,241.206
3209,Stockholm,0,469.157,617.528,70.957,109.165
3318,Vasteras,108.116,376.888,601.19,77.84,0
3026,Gothenburg,468.764,0,276.277,452.698,376.657
3116,Lulea,902.101,1247.567,1514.488,836.195,873.331
3046,Gavle,172.902,518.24,785.289,106.996,144.004
3308,Sundsvall,377.259,722.724,989.646,311.353,348.488
